"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001784_ARCHIVED","SA_0000001784_SVN","PUBLISHED","2005","EUR","SVN","MLE","36.0","36.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_MLT","PUBLISHED","2005","EUR","MLT","FMLE","39.0","39.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CZE","PUBLISHED","2010","EUR","CZE","MLE","44.0","44.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ITA","PUBLISHED","2005","EUR","ITA","MLE","47.0","47.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_MLT","PUBLISHED","2010","EUR","MLT","MLE","","","","","missing data"
"SA_0000001784_ARCHIVED","SA_0000001784_SWE","PUBLISHED","2010","EUR","SWE","FMLE","9.0","9.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ROU","PUBLISHED","2005","EUR","ROU","FMLE","9.0","9.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_USA","PUBLISHED","2005","AMR","USA","FMLE","12.0","12.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_EST","PUBLISHED","2010","EUR","EST","FMLE","13.0","13.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CHE","PUBLISHED","2005","EUR","CHE","FMLE","16.0","16.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_DNK","PUBLISHED","2010","EUR","DNK","FMLE","17.0","17.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LTU","PUBLISHED","2005","EUR","LTU","FMLE","20.0","20.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LVA","PUBLISHED","2010","EUR","LVA","FMLE","21.0","21.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LTU","PUBLISHED","2005","EUR","LTU","MLE","25.0","25.00000","","",""
