"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"WHS3_522","PUBLISHED","2008","SEAR","","1007382","1007382.00000","","",""
"WHS3_522","PUBLISHED","2008","EUR","","105240","105240.00000","","",""
"WHS3_522","PUBLISHED","2008","AMR","","119810","119810.00000","","",""
"WHS3_522","PUBLISHED","2008","NOTSPEC","WB_LMI","1656197","1656197.00000","","",""
"WHS3_522","PUBLISHED","2008","EMR","","166542","166542.00000","","",""
"WHS3_522","PUBLISHED","2008","GLOBAL","","2654410","2654410.00000","","",""
"WHS3_522","PUBLISHED","2008","NOTSPEC","WB_UMI","322047","322047.00000","","",""
"WHS3_522","PUBLISHED","2008","NOTSPEC","WB_HI","40477","40477.00000","","",""
"WHS3_522","PUBLISHED","2008","AFR","","595184","595184.00000","","",""
"WHS3_522","PUBLISHED","2008","NOTSPEC","WB_LI","635689","635689.00000","","",""
"WHS3_522","PUBLISHED","2008","WPR","","660252","660252.00000","","",""
"WHS3_522","PUBLISHED","2008","NOTSPEC","WB_WORLD_INCOME","2654410","2654410.00000","","",""
