"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"wast3","EQ_RHS","PUBLISHED","2001","AMR","HND","","","","","HNDRHS200116","3.2 [1.6-6.0]","3.15789","1.64113","5.99109",""
"wast3","EQ_DHS","PUBLISHED","2011","AMR","HND","","","","","HNDDHS201113","3.8 [2.2-6.6]","3.80078","2.17030","6.57386",""
"wast3","EQ_DHS","PUBLISHED","2011","AMR","HND","","","","","HNDDHS201118","2.9 [1.4-5.8]","2.86716","1.39045","5.81963",""
"wast3","EQ_DHS","PUBLISHED","2007","EMR","JOR","","","","","JORDHS200703","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2005","EUR","MDA","","","","","MDADHS200503","5.9 [3.6-9.7]","5.91684","3.55623","9.68702",""
"wast3","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","","","HTIDHS200001","8.0 [5.9-10.8]","7.98338","5.88141","10.75077",""
"wast3","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","","","HTIDHS200004","7.0 [4.9-9.8]","6.96472","4.87890","9.84993",""
"wast3","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","","","HTIDHS200006","6.2 [3.2-11.7]","6.24498","3.23946","11.70175",""
"wast3","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","","","HTIDHS200010","5.4 [3.0-9.3]","5.38854","3.04973","9.34801",""
"wast3","EQ_DHS","PUBLISHED","2012","AMR","HTI","","","","","HTIDHS201202","4.7 [2.8-7.8]","4.68561","2.78333","7.78393",""
"wast3","EQ_DHS","PUBLISHED","2012","AMR","HTI","","","","","HTIDHS201204","5.2 [2.3-11.3]","5.24079","2.34969","11.27830",""
"wast3","EQ_DHS","PUBLISHED","2012","AMR","HTI","","","","","HTIDHS201206","3.4 [1.5-7.3]","3.40236","1.54098","7.34444",""
"wast3","EQ_DHS","PUBLISHED","2005","AMR","HTI","","","","","HTIDHS200508","8.1 [5.1-12.7]","8.10223","5.05178","12.74736",""
"wast3","EQ_DHS","PUBLISHED","2012","AMR","HTI","","","","","HTIDHS201201","7.1 [5.2-9.7]","7.11437","5.20022","9.66128",""
"wast3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","","","","","IDNDHS199401","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","","","","IDNDHS199702","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","","","","IDNDHS199704","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","","","","","IDNDHS199408","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","","","","","IDNDHS199410","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","","","","IDNDHS199713","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","","","","IDNDHS199717","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","","","","","IDNDHS199419","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","","","","","IDNDHS201223","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","","","","","IDNDHS200202","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2005","EUR","MKD","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2011","EUR","MKD","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","","WQ2","","27.1 [24.4-30.1]","27.14102","24.35043","30.12407",""
"wast3","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","","WQ5","","10.8 [8.4-13.9]","10.82502","8.36954","13.89168",""
"wast3","EQ_MICS","PUBLISHED","2009","AFR","MLI","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2012","AFR","MLI","","","","WQ1","","18.1 [14.5-22.4]","18.14750","14.54558","22.40747",""
"wast3","EQ_DHS","PUBLISHED","2015","SEAR","MMR","","","","WQ4","","6.0 [3.8-9.2]","5.98130","3.82339","9.24012",""
"wast3","EQ_MICS","PUBLISHED","2005","EUR","MNE","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2013","EUR","MNE","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2005","WPR","MNG","","","","WQ2","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2010","WPR","MNG","","","","WQ5","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","WQ2","","14.2 [9.2-21.2]","14.19724","9.21542","21.24206",""
"wast3","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","","","WQ5","","4.8 [3.1-7.1]","4.75097","3.14903","7.10802",""
"wast3","EQ_MICS","PUBLISHED","2007","AFR","MRT","","","","WQ1","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2007","AFR","MRT","","","","WQ3","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2011","AFR","MRT","","","","WQ2","","No data","","","","Not available."
