"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"AIR_16","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE039","280259 [198904–345399]","280259.12500","198904.28130","345398.78130",""
"AIR_16","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE039","611101 [422614–780130]","611101.31250","422614.15630","780129.93750",""
"AIR_16","PUBLISHED","2016","EUR","ARM","BTSX","ENVCAUSE039","169 [6–718]","169.11050","5.74583","717.58630",""
"AIR_16","PUBLISHED","2016","EUR","ARM","MLE","ENVCAUSE039","91 [3–386]","90.89928","3.08846","385.71274",""
"AIR_16","PUBLISHED","2016","AFR","BDI","MLE","ENVCAUSE039","132511 [103928–153395]","132511.26560","103927.89060","153394.73440",""
"AIR_16","PUBLISHED","2016","EUR","BEL","FMLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_16","PUBLISHED","2016","EUR","BGR","MLE","ENVCAUSE039","221 [3–1249]","221.43645","2.77143","1249.16528",""
"AIR_16","PUBLISHED","2016","EMR","BHR","FMLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_16","PUBLISHED","2016","AMR","BOL","FMLE","ENVCAUSE039","10967 [6271–16470]","10966.62988","6271.12256","16469.81836",""
"AIR_16","PUBLISHED","2016","AMR","BRA","BTSX","ENVCAUSE039","19394 [6479–45077]","19393.63281","6478.62012","45076.50781",""
"AIR_16","PUBLISHED","2016","AFR","CAF","BTSX","ENVCAUSE039","172005 [135028–199570]","172005.14060","135027.95310","199569.53130",""
"AIR_16","PUBLISHED","2016","AFR","CAF","MLE","ENVCAUSE039","84110 [66028–97588]","84109.61719","66027.96094","97588.46875",""
"AIR_16","PUBLISHED","2016","AFR","CIV","MLE","ENVCAUSE039","342921 [254800–411100]","342920.68750","254799.84380","411100.37500",""
"AIR_16","PUBLISHED","2016","AFR","CMR","FMLE","ENVCAUSE039","211653 [157009–256725]","211652.79690","157008.98440","256724.73440",""
"AIR_16","PUBLISHED","2016","AFR","COM","FMLE","ENVCAUSE039","8151 [6287–9590]","8150.60693","6287.09570","9589.97754",""
"AIR_16","PUBLISHED","2016","AFR","CPV","BTSX","ENVCAUSE039","749 [422–1277]","749.08136","422.09863","1277.10877",""
"AIR_16","PUBLISHED","2016","EUR","DEU","BTSX","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_16","PUBLISHED","2016","EUR","DEU","MLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_16","PUBLISHED","2016","AFR","DZA","MLE","ENVCAUSE039","8271 [7–49197]","8270.99219","6.93933","49196.94141",""
"AIR_16","PUBLISHED","2016","AMR","ECU","FMLE","ENVCAUSE039","1951 [85–6602]","1950.90027","85.30835","6602.04785",""
"AIR_16","PUBLISHED","2016","EUR","EST","MLE","ENVCAUSE039","7 [0–23]","6.95621","0.23022","22.52126",""
"AIR_16","PUBLISHED","2016","AFR","ETH","FMLE","ENVCAUSE039","683481 [531803–795056]","683480.81250","531802.87500","795055.87500",""
"AIR_16","PUBLISHED","2016","AFR","GAB","FMLE","ENVCAUSE039","3141 [1258–6455]","3141.37524","1257.76184","6454.92481",""
"AIR_16","PUBLISHED","2016","EUR","GBR","BTSX","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_16","PUBLISHED","2016","AFR","GNB","BTSX","ENVCAUSE039","51497 [40294–59673]","51497.08203","40293.54688","59673.45313",""
"AIR_16","PUBLISHED","2016","AFR","GNB","MLE","ENVCAUSE039","27028 [21148–31319]","27027.95703","21147.84375","31319.28125",""
"AIR_16","PUBLISHED","2016","AMR","GUY","MLE","ENVCAUSE039","499 [265–755]","499.49918","264.59100","754.84784",""
