"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000014","PUBLISHED","2015","AFR","MWI","","21.8","21.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","KAZ","","6.5","6.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","JOR","","10.5","10.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","JPN","","2.1","2.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","JAM","","18.8","18.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","GIN","","21.1","21.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","GTM","","11.9","11.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","GRD","","8.0","8.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","GRC","","3.6","3.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","SLV","","12.2","12.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","EGY","","12.2","12.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","ECU","","7.7","7.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","DOM","","11.1","11.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","DMA","","11.6","11.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","COM","","30.5","30.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","COL","","8.1","8.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","CHN","","7.2","7.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","CHL","","3.1","3.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","BOL","","12.9","12.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","BTN","","16.0","16.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","BEN","","30.3","30.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","BLZ","","9.8","9.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","AND","","1.6","1.60000","","",""
