"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"ebreast","EQ_MICS","PUBLISHED","2006","EUR","KAZ","","","","WQ3","","62.5 [55.8-68.7]","62.45685","55.77160","68.69873",""
"ebreast","EQ_MICS","PUBLISHED","2006","EUR","KAZ","","","","WQ4","","66.9 [59.3-73.8]","66.93209","59.25165","73.80489",""
"ebreast","EQ_DHS","PUBLISHED","1993","AFR","KEN","","","","WQ1","","57.8 [53.0-62.5]","57.80653","52.95200","62.51476",""
"ebreast","EQ_DHS","PUBLISHED","1993","AFR","KEN","","","","WQ2","","51.1 [46.1-56.0]","51.06866","46.14091","55.97572",""
"ebreast","EQ_DHS","PUBLISHED","1993","AFR","KEN","","","","WQ3","","53.0 [48.4-57.6]","53.01677","48.35603","57.62547",""
"ebreast","EQ_DHS","PUBLISHED","2003","AFR","KEN","","","","WQ4","","55.0 [49.5-60.4]","55.01550","49.47881","60.43066",""
"ebreast","EQ_DHS","PUBLISHED","2003","AFR","KEN","","","","WQ5","","50.8 [46.7-55.0]","50.82393","46.67498","54.96155",""
"ebreast","EQ_DHS","PUBLISHED","2008","AFR","KEN","","","","WQ1","","58.1 [51.7-64.3]","58.10979","51.65281","64.30045",""
"ebreast","EQ_DHS","PUBLISHED","1997","EUR","KGZ","","","","WQ2","","47.2 [38.8-55.8]","47.23436","38.84964","55.77806",""
"ebreast","EQ_DHS","PUBLISHED","1997","EUR","KGZ","","","","WQ3","","42.1 [32.2-52.6]","42.05476","32.17152","52.61882",""
"ebreast","EQ_DHS","PUBLISHED","1997","EUR","KGZ","","","","WQ4","","43.3 [34.3-52.6]","43.26096","34.33390","52.64817",""
"ebreast","EQ_DHS","PUBLISHED","1997","EUR","KGZ","","","","WQ5","","42.3 [33.9-51.2]","42.31487","33.90269","51.19756",""
"ebreast","EQ_MICS","PUBLISHED","2014","EUR","KGZ","","","","WQ1","","83.4 [78.4-87.4]","83.39925","78.42522","87.41061",""
"ebreast","EQ_MICS","PUBLISHED","2014","EUR","KGZ","","","","WQ2","","86.2 [80.8-90.3]","86.23125","80.84225","90.28648",""
"ebreast","EQ_MICS","PUBLISHED","2014","EUR","KGZ","","","","WQ3","","83.7 [78.4-87.9]","83.68668","78.40840","87.87419",""
"ebreast","EQ_MICS","PUBLISHED","2014","EUR","KGZ","","","","WQ4","","79.8 [73.8-84.8]","79.80476","73.75223","84.75021",""
"ebreast","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","WQ5","","43.8 [39.6-48.1]","43.81586","39.59799","48.12504",""
"ebreast","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","WQ1","","65.2 [61.5-68.8]","65.24388","61.50056","68.80784",""
"ebreast","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","WQ2","","65.5 [61.0-69.8]","65.52962","60.95961","69.82944",""
"ebreast","EQ_MICS","PUBLISHED","2006","WPR","LAO","","","","WQ3","","29.5 [23.4-36.3]","29.45760","23.42292","36.30985",""
"ebreast","EQ_MICS","PUBLISHED","2006","WPR","LAO","","","","WQ4","","32.7 [25.5-40.7]","32.67494","25.52516","40.73211",""
"ebreast","EQ_MICS","PUBLISHED","2006","WPR","LAO","","","","WQ5","","56.2 [47.9-64.2]","56.24760","47.92115","64.23631",""
"ebreast","EQ_DHS","PUBLISHED","2013","AFR","LBR","","","","WQ1","","61.4 [56.2-66.3]","61.37791","56.23465","66.27918",""
"ebreast","EQ_DHS","PUBLISHED","2013","AFR","LBR","","","","WQ2","","66.2 [62.1-70.0]","66.20360","62.13399","70.04667",""
"ebreast","EQ_DHS","PUBLISHED","2013","AFR","LBR","","","","WQ3","","60.5 [51.8-68.6]","60.49988","51.81480","68.56913",""
"ebreast","EQ_DHS","PUBLISHED","2013","AFR","LBR","","","","WQ4","","62.0 [53.6-69.7]","61.99115","53.64548","69.68340",""
"ebreast","EQ_DHS","PUBLISHED","2009","AFR","LSO","","","","WQ1","","47.6 [43.3-51.9]","47.60112","43.29039","51.94790",""
"ebreast","EQ_DHS","PUBLISHED","2009","AFR","LSO","","","","WQ2","","53.4 [48.6-58.1]","53.38477","48.56808","58.13916",""
"ebreast","EQ_DHS","PUBLISHED","2009","AFR","LSO","","","","WQ3","","53.3 [47.3-59.2]","53.30053","47.29495","59.21196",""
"ebreast","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","","WQ4","","49.0 [43.8-54.3]","49.02548","43.79108","54.28133",""
"ebreast","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","","WQ5","","41.2 [36.1-46.5]","41.22052","36.14017","46.49506",""
"ebreast","EQ_RHS","PUBLISHED","1997","EUR","MDA","","","","WQ1","","8.5 [4.6-15.2]","8.48485","4.58833","15.16445",""
"ebreast","EQ_MICS","PUBLISHED","2012","EUR","MDA","","","","WQ2","","69.2 [60.0-77.1]","69.17908","60.00850","77.05096",""
"ebreast","EQ_MICS","PUBLISHED","2012","EUR","MDA","","","","WQ3","","59.8 [49.7-69.2]","59.83355","49.72559","69.16927",""
"ebreast","EQ_MICS","PUBLISHED","2012","EUR","MDA","","","","WQ4","","55.6 [46.2-64.7]","55.64622","46.22591","64.67728",""
"ebreast","EQ_MICS","PUBLISHED","2012","EUR","MDA","","","","WQ5","","61.4 [54.7-67.8]","61.42111","54.67263","67.75739",""
"ebreast","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","WQ1","","67.4 [64.6-70.0]","67.38065","64.63253","70.01430",""
"ebreast","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","WQ2","","70.7 [67.2-74.0]","70.68948","67.16079","73.98589",""
