"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"nmr","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201001","","No data","","","","Not available."
"nmr","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201006","","No data","","","","Not available."
"nmr","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201008","","No data","","","","Not available."
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201501","","17.6 [11.3-27.2]","18.00000","11.00000","27.00000",""
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201503","","41.9 [30.9-56.7]","42.00000","31.00000","57.00000",""
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201508","","No data","","","","Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death."
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201510","","40.1 [26.6-60.0]","40.00000","27.00000","60.00000",""
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201517","","37.7 [27.3-51.8]","38.00000","27.00000","52.00000",""
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201519","","12.5 [6.9-22.4]","13.00000","7.00000","22.00000",""
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201526","","No data","","","","Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death."
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201528","","14.8 [10.5-20.8]","15.00000","11.00000","21.00000",""
"nmr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201533","","13.3 [8.6-20.7]","13.00000","9.00000","21.00000",""
"nmr","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200202","","No data","","","","Not available."
