"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ARCHIVE","Display Value","Numeric","Low","High","Comments"
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AFR","DZA","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AFR","AGO","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AFR","CAF","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AFR","TCD","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AFR","GAB","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AFR","GMB","DEC2019","-0.11","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AFR","MDG","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AFR","MWI","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AFR","NGA","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AFR","RWA","DEC2019","-0.01","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AFR","STP","DEC2019","-0.02","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AFR","SWZ","DEC2019","-0.2","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AFR","TGO","DEC2019","0","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AMR","BRB","DEC2019","-0.87","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AMR","BLZ","DEC2019","-0.93","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AMR","CUB","DEC2019","-0.05","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AMR","DMA","DEC2019","-0.93","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AMR","HND","DEC2019","-0.03","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2010","AMR","JAM","DEC2019","-0.34","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AMR","LCA","DEC2019","-1.29","","","",""
"SA_0000001823_ARCHIVED","PUBLISHED","2016","AMR","VCT","DEC2019","-0.58","","","",""
