"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","AFG","GHE000","68,970","68969.61719","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","AFG","GHE151","11,111","11111.24023","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","AFG","GHE060","37,894","37893.53906","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","AFG","GHE001","37,561","37560.76172","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","AFG","GHE000","86,566","86565.53906","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AUT","GHE001","1,023","1022.75702","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AUT","GHE060","18,654","18653.69922","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AUT","GHE151","2,860","2859.98901","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AUT","GHE000","19,763","19763.44922","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AUT","GHE001","934","933.51617","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AUT","GHE060","16,748","16747.72070","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AUT","GHE151","2,082","2082.21606","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AZE","GHE000","45,307","45307.21875","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AZE","GHE001","11,894","11893.50977","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AZE","GHE060","30,046","30046.38086","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AZE","GHE151","3,367","3367.32910","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AZE","GHE000","33,879","33879.35938","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AZE","GHE001","6,634","6633.62988","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AZE","GHE060","24,465","24464.51953","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","AZE","GHE151","2,781","2781.21411","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BDI","GHE000","107,301","107300.50000","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BDI","GHE001","65,366","65365.78906","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BDI","GHE060","29,861","29861.09961","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BDI","GHE151","12,074","12073.61035","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BDI","GHE000","80,027","80026.65625","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BDI","GHE001","40,770","40770.48828","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BDI","GHE060","31,116","31115.52930","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BDI","GHE151","8,141","8140.64502","","",""
