"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","URB","","2.5","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","RUR","","0.82","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","","URB","","17.1","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","","RUR","","10.76","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","NER","","URB","","1.42","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","NER","","RUR","","0.5","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","RWA","","URB","","7.33","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","RWA","","RUR","","2.16","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","SEN","","URB","","0.7","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","RUR","","21.91","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","URB","","29.08","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","RUR","","5.63","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","URB","","10.19","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","RUR","","0.25","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","URB","","0.35","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","RUR","","2.04","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","URB","","2.34","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","RUR","","1","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","URB","","2.39","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","RUR","","2.03","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","URB","","2.32","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","RUR","","0.67","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","URB","","5.54","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","RUR","","0.99","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","URB","","0.69","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","RUR","","0.81","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","URB","","1.91","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","RUR","","3.97","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","URB","","6.69","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","RUR","","0.44","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","URB","","1.43","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","RUR","","1.3","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","URB","","3.52","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","SEN","","RUR","","0.7","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","MLE","","","1.86","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","FMLE","","","2.69","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","MLE","","","0.41","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","FMLE","","","0.29","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","MLE","","","7.89","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","FMLE","","","12.34","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","MLE","","","21.99","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","FMLE","","","33.01","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","MLE","","","2.07","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","FMLE","","","2.84","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","MLE","","","16.31","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","FMLE","","","18","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","NER","MLE","","","1.33","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","NER","FMLE","","","1.49","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","RWA","MLE","","","5.78","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","RWA","FMLE","","","8.6","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","SEN","MLE","","","0.39","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","SEN","FMLE","","","0.96","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","SWZ","MLE","","","25.52","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","SWZ","FMLE","","","36.99","","","",""
"EQ_HIVPREV","PUBLISHED","2008","AFR","WB_LI","TZA","MLE","","","6.39","","","",""
"EQ_HIVPREV","PUBLISHED","2008","AFR","WB_LI","TZA","FMLE","","","10.56","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","MLE","","","15.93","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","FMLE","","","23.13","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","MLE","","","15.66","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","FMLE","","","21.64","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","","WQ1","3.7","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","","WQ2","2.67","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","","WQ3","3.85","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","","WQ4","0.89","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","","WQ5","5.56","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","","WQ1","1.49","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","SWZ","","URB","","31.55","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","SWZ","","RUR","","23.71","","","",""
"EQ_HIVPREV","PUBLISHED","2008","AFR","WB_LI","TZA","","URB","","8.73","","","",""
"EQ_HIVPREV","PUBLISHED","2008","AFR","WB_LI","TZA","","RUR","","4.69","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","","URB","","19.66","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","","RUR","","10.25","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","","URB","","18.86","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","","RUR","","17.62","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","MLE","","","3.02","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","FMLE","","","3.96","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","MLE","","","1.56","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","FMLE","","","1.32","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","MLE","","","4.89","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","FMLE","","","8.38","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","MLE","","","1.33","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","FMLE","","","2.41","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","MLE","","","0.71","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","FMLE","","","0.68","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","MLE","","","2.41","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","FMLE","","","7.72","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","MLE","","","1.57","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","FMLE","","","2.88","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","MLE","","","0.65","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","FMLE","","","3.92","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","","WQ2","0.79","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","","WQ3","2.69","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","","WQ4","1.7","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","","WQ5","0.89","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","","WQ1","5.66","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","","WQ2","7.93","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","","WQ3","6.86","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","","WQ4","7.77","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","","WQ5","5.31","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","","WQ1","1.5","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","","WQ2","1.73","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","","WQ3","2.94","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","","WQ4","1.92","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","","WQ5","1.62","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","","WQ1","1.79","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","","WQ2","1.01","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","","WQ3","0.49","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","","WQ4","0.13","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","","WQ5","0.45","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","","WQ1","5.55","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","","WQ2","6.68","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","","WQ3","7.17","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","","WQ4","4.57","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","","WQ5","2.52","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","","WQ1","2.88","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","","WQ2","2.53","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","","WQ3","2.37","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","","WQ4","2.8","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","","WQ5","0.86","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","","WQ1","2.89","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","","WQ2","4.56","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","","WQ3","0.95","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","","WQ4","2.27","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","","WQ5","1.51","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","","WQ1","2.37","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","","WQ2","2.62","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","","WQ3","4.02","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","","WQ4","2.12","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","","WQ5","0.92","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","","WQ1","0.49","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","","WQ2","0.44","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","","WQ3","0.47","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","","WQ4","0.2","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","","WQ5","0.1","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","","WQ1","10.89","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","","WQ2","13.06","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","","WQ3","8.44","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","","WQ4","11.54","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","","WQ5","6.95","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","","WQ1","34.85","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","","WQ2","33.24","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","","WQ3","28.53","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","","WQ4","31.33","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","","WQ5","21.33","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","","WQ1","2.27","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","","WQ2","2.02","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","","WQ3","2.32","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","","WQ4","3.51","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","","WQ5","2.2","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","","","WQ1","17.08","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","","","WQ2","21.25","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","","","WQ3","20.33","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","","","WQ4","17.44","","","",""
"EQ_HIVPREV","PUBLISHED","2008","AFR","WB_LI","TZA","","","WQ4","6.07","","","",""
"EQ_HIVPREV","PUBLISHED","2008","AFR","WB_LI","TZA","","","WQ5","8.06","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","","","WQ1","18.14","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","","","WQ2","23.21","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","","","WQ3","22.55","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","","","WQ4","19.96","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","ZMB","","","WQ5","15.16","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","","","WQ1","24.79","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","","","WQ2","21.5","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","","","WQ3","19.09","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","","","WQ4","12.56","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","ZWE","","","WQ5","14.96","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","BFA","","TOTL","","1.84","","","",""
"EQ_HIVPREV","PUBLISHED","2005","WPR","WB_LI","KHM","","TOTL","","0.61","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","CMR","","TOTL","","5.51","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LMI","COG","","TOTL","","1.3","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AMR","WB_UMI","DOM","","TOTL","","0.78","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","ETH","","TOTL","","1.44","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","GHA","","TOTL","","2.17","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","GIN","","TOTL","","1.49","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AMR","WB_LI","HTI","","TOTL","","2.17","","","",""
"EQ_HIVPREV","PUBLISHED","2006","SEAR","WB_LMI","IND","","TOTL","","0.28","","","",""
"EQ_HIVPREV","PUBLISHED","2003","AFR","WB_LI","KEN","","TOTL","","6.77","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LMI","LSO","","TOTL","","23.53","","","",""
"EQ_HIVPREV","PUBLISHED","2007","AFR","WB_LI","LBR","","TOTL","","1.52","","","",""
"EQ_HIVPREV","PUBLISHED","2004","AFR","WB_LI","MWI","","TOTL","","11.83","","","",""
"EQ_HIVPREV","PUBLISHED","2006","AFR","WB_LI","NER","","TOTL","","0.71","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","RWA","","TOTL","","3.05","","","",""
"EQ_HIVPREV","PUBLISHED","2005","AFR","WB_LI","SEN","","TOTL","","0.7","","","",""
