"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"ebreast5","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","RUR","","","22.6 [20.0-25.5]","22.62140","19.96303","25.52088",""
"ebreast5","EQ_MICS","PUBLISHED","2010","AFR","TGO","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_DHS","PUBLISHED","2013","AFR","TGO","","","RUR","","","62.1 [59.1-65.0]","62.13316","59.14813","65.02904",""
"ebreast5","EQ_MICS","PUBLISHED","2005","SEAR","THA","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2012","SEAR","THA","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2005","EUR","TJK","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_DHS","PUBLISHED","2012","EUR","TJK","","","RUR","","","50.7 [46.7-54.6]","50.66324","46.71739","54.60084",""
"ebreast5","EQ_DHS","PUBLISHED","1993","EUR","TUR","","","URB","","","21.4 [19.2-23.8]","21.42196","19.22531","23.79566",""
"ebreast5","EQ_DHS","PUBLISHED","1998","EUR","TUR","","","RUR","","","49.4 [45.9-52.9]","49.36238","45.86615","52.86486",""
"ebreast5","EQ_DHS","PUBLISHED","2003","EUR","TUR","","","URB","","","57.9 [55.5-60.3]","57.93845","55.54842","60.29182",""
"ebreast5","EQ_DHS","PUBLISHED","1996","AFR","TZA","","","RUR","","","57.5 [55.5-59.4]","57.49036","55.52322","59.43406",""
"ebreast5","EQ_DHS","PUBLISHED","2000","AFR","UGA","","","URB","","","31.4 [27.2-35.9]","31.38289","27.19965","35.89232",""
"ebreast5","EQ_DHS","PUBLISHED","2011","AFR","UGA","","","URB","","","58.1 [52.9-63.2]","58.12442","52.88888","63.18315",""
"ebreast5","EQ_RHS","PUBLISHED","1999","EUR","UKR","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2005","EUR","UKR","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_DHS","PUBLISHED","2007","EUR","UKR","","","RUR","","","39.1 [32.4-46.3]","39.12021","32.42307","46.25384",""
"ebreast5","EQ_DHS","PUBLISHED","2002","WPR","VNM","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2006","WPR","VNM","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2010","WPR","VNM","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2013","WPR","VNM","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2007","WPR","VUT","","","URB","","","No data","","","","Not available."
