"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"dptv","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","RUR","","","60.2 [45.1-73.6]","60.24565","45.11421","73.64269","Attention - Estimate is based on 25-49 cases."
"dptv","EQ_RHS","PUBLISHED","1994","AMR","ECU","","","URB","","","81.8 [76.4-86.2]","81.82935","76.39289","86.23936",""
"dptv","EQ_RHS","PUBLISHED","1999","AMR","ECU","","","RUR","","","75.1 [70.4-79.3]","75.09388","70.38115","79.27753",""
"dptv","EQ_RHS","PUBLISHED","2004","AMR","ECU","","","URB","","","81.3 [75.1-86.2]","81.28185","75.11903","86.19864",""
"dptv","EQ_DHS","PUBLISHED","1995","EMR","EGY","","","RUR","","","78.8 [76.1-81.3]","78.83611","76.11913","81.31983",""
"dptv","EQ_DHS","PUBLISHED","2005","AFR","ETH","","","URB","","","66.8 [57.3-75.1]","66.77229","57.27461","75.07740",""
"dptv","EQ_DHS","PUBLISHED","2000","AFR","GAB","","","URB","","","43.5 [38.4-48.7]","43.48175","38.43789","48.66429",""
"dptv","EQ_DHS","PUBLISHED","2012","AFR","GAB","","","RUR","","","61.7 [54.2-68.6]","61.66238","54.17332","68.63612",""
"dptv","EQ_MICS","PUBLISHED","2005","EUR","GEO","","","URB","","","65.3 [55.9-73.7]","65.33718","55.87041","73.72808",""
"dptv","EQ_DHS","PUBLISHED","1993","AFR","GHA","","","RUR","","","55.3 [50.1-60.4]","55.28634","50.07040","60.38847",""
"dptv","EQ_DHS","PUBLISHED","2014","AFR","GHA","","","URB","","","88.5 [84.4-91.7]","88.51893","84.35539","91.68365",""
"dptv","EQ_DHS","PUBLISHED","1999","AFR","GIN","","","RUR","","","40.3 [35.9-45.0]","40.32091","35.85631","44.95184",""
"dptv","EQ_DHS","PUBLISHED","2005","AFR","GIN","","","URB","","","58.6 [50.1-66.7]","58.64923","50.07576","66.72861",""
"dptv","EQ_DHS","PUBLISHED","2012","AFR","GIN","","","RUR","","","46.2 [41.0-51.6]","46.24877","40.95838","51.62501",""
"dptv","EQ_MICS","PUBLISHED","2005","AFR","GMB","","","URB","","","87.4 [83.9-90.2]","87.41195","83.93549","90.22371",""
"dptv","EQ_DHS","PUBLISHED","2013","AFR","GMB","","","RUR","","","92.4 [90.4-94.1]","92.44229","90.43208","94.05791",""
"dptv","EQ_RHS","PUBLISHED","2008","AMR","GTM","","","URB","","","82.2 [78.5-85.5]","82.23557","78.45224","85.47758",""
"dptv","EQ_DHS","PUBLISHED","2014","AMR","GTM","","","RUR","","","83.8 [81.0-86.2]","83.79356","81.03085","86.22233",""
"dptv","EQ_MICS","PUBLISHED","2006","AMR","GUY","","","URB","","","83.3 [72.2-90.5]","83.26313","72.15482","90.52209",""
"dptv","EQ_DHS","PUBLISHED","2009","AMR","GUY","","","RUR","","","83.8 [77.6-88.5]","83.78204","77.61387","88.50243",""
"dptv","EQ_MICS","PUBLISHED","2014","AMR","GUY","","","URB","","","91.7 [85.3-95.5]","91.74055","85.34924","95.49099",""
"dptv","EQ_RHS","PUBLISHED","1991","AMR","HND","","","RUR","","","87.0 [82.9-90.2]","86.99731","82.93606","90.20613",""
"dptv","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","URB","","","49.0 [37.1-61.0]","49.02748","37.13754","61.02847",""
"dptv","EQ_DHS","PUBLISHED","2005","AMR","HTI","","","RUR","","","50.4 [44.7-56.1]","50.40719","44.68996","56.11380",""
