"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_2_prev_youth","PUBLISHED","WPR","NRU","BTSX","22.1","22.10000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","PLW","FMLE","22.1","22.10000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","BTN","MLE","23.1","23.10000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","BLR","BTSX","26.5","26.50000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","CHL","BTSX","26.7","26.70000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","TON","BTSX","27.1","27.10000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","CZE","BTSX","30.6","30.60000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","LBN","BTSX","36.2","36.20000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","PLW","MLE","42.7","42.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","CHL","FMLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_youth","PUBLISHED","SEAR","LKA","FMLE","0.3","0.30000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","MMR","FMLE","0.5","0.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","TJK","FMLE","0.6","0.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","CAN","BTSX","0.9","0.90000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","ARM","FMLE","1.0","1.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","CAN","MLE","1.1","1.10000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","AZE","BTSX","1.1","1.10000","","","Manufactured cigarettes only"
"M_def_2_prev_youth","PUBLISHED","EUR","UZB","FMLE","1.2","1.20000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","NGA","FMLE","1.3","1.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","OMN","BTSX","1.8","1.80000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","KOR","FMLE","1.8","1.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","MOZ","MLE","2.1","2.10000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","IND","FMLE","2.4","2.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","KEN","FMLE","2.6","2.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BEN","BTSX","2.8","2.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BEN","MLE","3.3","3.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","NGA","BTSX","3.5","3.50000","","",""
