"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"WHS2_160","PUBLISHED","2004","AFR","","147","147.00000","147.00000","147.00000",""
"WHS2_160","PUBLISHED","2004","AMR","","130","130.00000","130.00000","130.00000",""
"WHS2_160","PUBLISHED","2004","EMR","","101","101.00000","101.00000","101.00000",""
"WHS2_160","PUBLISHED","2004","EUR","","142","142.00000","142.00000","142.00000",""
"WHS2_160","PUBLISHED","2004","NOTSPEC","WB_WORLD_INCOME","130","130.00000","130.00000","130.00000",""
"WHS2_160","PUBLISHED","2004","NOTSPEC","WB_HI","135","135.00000","135.00000","135.00000",""
"WHS2_160","PUBLISHED","2004","NOTSPEC","WB_LI","126","126.00000","126.00000","126.00000",""
"WHS2_160","PUBLISHED","2004","NOTSPEC","WB_LMI","125","125.00000","125.00000","125.00000",""
"WHS2_160","PUBLISHED","2004","SEAR","","107","107.00000","107.00000","107.00000",""
"WHS2_160","PUBLISHED","2004","NOTSPEC","WB_UMI","133","133.00000","133.00000","133.00000",""
"WHS2_160","PUBLISHED","2004","WPR","","139","139.00000","139.00000","139.00000",""
"WHS2_160","PUBLISHED","2004","GLOBAL","","130","130.00000","130.00000","130.00000",""
