"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BACGROUP","Display Value","Numeric","Low","High","Comments"
"SA_0000001520","PUBLISHED","2016","EUR","MCO","SA_PROFESS_COMMERCE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","RUS","SA_YOUNG_NOVICE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","SMR","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","SVK","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","SVN","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","TKM","SA_PROFESS_COMMERCE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","UKR","SA_YOUNG_NOVICE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","CAF","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","CAF","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","COM","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","COG","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","SUR","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","EGY","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","IRN","SA_GENERAL_POPULATION","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","LAO","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","IRN","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","JOR","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","KWT","SA_GENERAL_POPULATION",".","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","KOR","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","NGA","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","NGA","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","SWZ","SA_YOUNG_NOVICE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","TGO","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","UGA","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","TZA","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","BOL","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","BOL","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","CHL","SA_GENERAL_POPULATION","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","CHL","SA_PROFESS_COMMERCE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","GRD","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","GTM","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","HTI","SA_YOUNG_NOVICE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","HND","SA_GENERAL_POPULATION","0.07%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","UZB","SA_GENERAL_POPULATION","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","UZB","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","NPL","SA_YOUNG_NOVICE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","LKA","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","AUS","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","KIR","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","MHL","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","FSM","SA_YOUNG_NOVICE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","KOR","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","SLB","SA_GENERAL_POPULATION",".","","","",""
