"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","CAFMICS201004","26.0","26.00297","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","WQ1","","26.0","26.04087","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","WQ2","","24.6","24.63436","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201524","24.7","24.70438","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","CIVDHS199410","24.9","24.90195","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","CIVDHS199403","28.4","28.38974","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","","MLIDHS200102","28.6","28.60680","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ1","","28.7","28.66031","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","","MLIDHS200107","28.8","28.84877","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","WQ2","","28.9","28.87491","","",""
"cci2030","EQ_DHS","PUBLISHED","1993","AFR","GHA","","","","GHADHS199308","29.1","29.10749","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","WQ2","","29.2","29.15397","","",""
"cci2030","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","MOZDHS199704","26.3","26.27866","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","NHLM","","","","26.4","26.38293","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","NERDHS200606","26.5","26.52163","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","WQ2","","26.6","26.57881","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","CAFMICS201015","26.7","26.71581","","",""
"cci2030","EQ_DHS","PUBLISHED","1993","WPR","PHL","NHLM","","","","26.9","26.92195","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","CMR","NHLM","","","","27.0","26.97372","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","GIN","","","WQ1","","27.2","27.15317","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","TGO","","","WQ2","","27.3","27.29813","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200818","27.6","27.57462","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","","","NPLDHS199605","27.7","27.70460","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","NERDHS200602","27.9","27.85390","","",""
"cci2030","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","","MLIDHS199503","28.1","28.14207","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200003","28.2","28.16480","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","ETH","","","","ETHDHS200001","28.4","28.37233","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200706","29.5","29.50728","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","","HTIDHS200008","29.5","29.51983","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","ETH","","","WQ2","","29.7","29.70181","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AMR","PER","","","","PERDHS199608","29.9","29.88875","","",""
"cci2030","EQ_DHS","PUBLISHED","1997","AFR","MDG","","","","MDGDHS199704","30.0","29.95110","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","WPR","PHL","NHLM","","","","30.3","30.28691","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AMR","HTI","","","WQ1","","30.4","30.35442","","",""
"cci2030","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","TCDDHS201408","30.4","30.42625","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","WQ3","","30.5","30.45121","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","EMR","SDN","","","","SDNMICS201015","30.9","30.87478","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","NERDHS200603","30.9","30.93344","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AMR","HTI","","","","HTIDHS199402","29.7","29.66001","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","MLI","","","WQ2","","32.8","32.82448","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","GIN","","RUR","","","33.9","33.94855","","",""
"cci2030","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","MOZDHS199707","34.2","34.15944","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","WQ3","","34.3","34.29010","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","GIN","","","WQ2","","34.3","34.30607","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","RWA","NHLM","","","","34.4","34.36177","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200010","34.4","34.40337","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","TGO","","","","TGODHS199805","34.7","34.67578","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","SEAR","IND","","","","INDDHS200517","34.7","34.72543","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","CODMICS201007","34.8","34.82003","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","GIN","","RUR","","","34.8","34.83967","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","CAFMICS201002","32.9","32.89961","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","","CAFDHS199402","33.0","32.96676","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","RWA","","","","RWADHS200012","33.1","33.11861","","",""
"cci2030","EQ_DHS","PUBLISHED","1995","AMR","GTM","","","","GTMDHS199502","33.2","33.16948","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","RUR","","","33.3","33.32150","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","CIV","","","WQ3","","33.4","33.40910","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","MLI","","RUR","","","33.6","33.59246","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","CAFMICS201016","33.7","33.67324","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200519","31.2","31.21080","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","","CAFDHS199405","31.3","31.32417","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200004","31.6","31.55535","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","NERDHS200605","31.8","31.75642","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201525","31.9","31.91178","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","CIV","","RUR","","","32.0","31.98568","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","GIN","","","","GINDHS200507","32.1","32.11945","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200309","32.2","32.18289","","",""
"cci2030","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","","YEMDHS201321","32.3","32.32355","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","RWA","","","","RWADHS200007","32.3","32.34861","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200314","32.5","32.52148","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","TGO","","","WQ1","","32.6","32.57493","","",""
"cci2030","EQ_DHS","PUBLISHED","1997","AFR","MDG","","","","MDGDHS199706","32.7","32.67356","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","","HTIDHS200007","32.7","32.71748","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","RWA","PRLM","","","","32.8","32.79518","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AMR","HTI","NHLM","","","","33.9","33.88814","","",""
