"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_10_HYG","PUBLISHED","2016","EMR","JOR","YEARSALL","BTSX","INADEQUATE_HYGIENE","18","17.68938","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","SLB","YEARSALL","BTSX","INADEQUATE_HYGIENE","8","8.01549","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","STP","YEARSALL","BTSX","INADEQUATE_HYGIENE","4","4.34557","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","USA","YEARSALL","MLE","INADEQUATE_HYGIENE","303","302.93775","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","VUT","YEARSALL","BTSX","INADEQUATE_HYGIENE","6","5.70398","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","CYP","YEARSALL","MLE","INADEQUATE_HYGIENE","2","1.69426","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","DNK","YEARSALL","BTSX","INADEQUATE_HYGIENE","17","17.04337","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","GEO","YEARSALL","MLE","INADEQUATE_HYGIENE","1","0.88576","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","GRC","YEARSALL","MLE","INADEQUATE_HYGIENE","1","1.13034","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","PER","YEARSALL","MLE","INADEQUATE_HYGIENE","61","60.86723","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","PRY","YEARSALL","MLE","INADEQUATE_HYGIENE","12","11.53282","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","SSD","YEARSALL","FMLE","INADEQUATE_HYGIENE","668","667.65577","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","SWE","YEARSALL","MLE","INADEQUATE_HYGIENE","8","7.84756","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","BLZ","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.35519","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","BRB","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.34020","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","DEU","YEARSALL","BTSX","INADEQUATE_HYGIENE","480","480.42144","","",""
