"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"asfr1","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201004","","No data","","","","Not available."
"asfr1","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201005","","No data","","","","Not available."
"asfr1","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201006","","No data","","","","Not available."
"asfr1","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201007","","No data","","","","Not available."
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201505","","22.7 [14.8-34.7]","23.00000","15.00000","35.00000",""
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201506","","73.9 [59.0-92.1]","74.00000","59.00000","92.00000",""
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201507","","101.4 [82.0-124.8]","101.00000","82.00000","125.00000",""
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201508","","31.9 [21.3-47.5]","32.00000","21.00000","48.00000","Attention - Estimate is based on 125-249 cases."
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201522","","68.4 [54.4-85.8]","68.00000","54.00000","86.00000",""
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201523","","160.2 [136.5-187.0]","160.00000","137.00000","187.00000",""
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201524","","79.9 [67.8-93.9]","80.00000","68.00000","94.00000",""
"asfr1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201525","","139.1 [111.7-172.1]","139.00000","112.00000","172.00000",""
"asfr1","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200001","","No data","","","","Not available."
"asfr1","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200002","","No data","","","","Not available."
"asfr1","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200003","","No data","","","","Not available."
"asfr1","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200501","","No data","","","","Not available."
"asfr1","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200502","","No data","","","","Not available."
"asfr1","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","ALBDHS200802","","21.8 [15.3-31.1]","22.00000","15.00000","31.00000",""
