"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","IHRSPARCAPACITYLEVEL","Display Value","Numeric","Low","High","Comments"
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EMR","AFG","IHRSPARCAPLEVEL10_C_10_1","20","20.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AFR","AGO","IHRSPARCAPLEVEL10_C_10_1","80","80.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","ALB","IHRSPARCAPLEVEL10_C_10_1","Other","","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","AND","IHRSPARCAPLEVEL10_C_10_1","60","60.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EMR","ARE","IHRSPARCAPLEVEL10_C_10_1","100","100.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AMR","ARG","IHRSPARCAPLEVEL10_C_10_1","40","40.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","ARM","IHRSPARCAPLEVEL10_C_10_1","100","100.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AMR","ATG","IHRSPARCAPLEVEL10_C_10_1","40","40.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","WPR","AUS","IHRSPARCAPLEVEL10_C_10_1","100","100.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","AUT","IHRSPARCAPLEVEL10_C_10_1","20","20.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","AZE","IHRSPARCAPLEVEL10_C_10_1","100","100.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AFR","BDI","IHRSPARCAPLEVEL10_C_10_1","20","20.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","BEL","IHRSPARCAPLEVEL10_C_10_1","80","80.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AFR","BEN","IHRSPARCAPLEVEL10_C_10_1","40","40.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AFR","BFA","IHRSPARCAPLEVEL10_C_10_1","20","20.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","SEAR","BGD","IHRSPARCAPLEVEL10_C_10_1","60","60.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","BGR","IHRSPARCAPLEVEL10_C_10_1","40","40.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EMR","BHR","IHRSPARCAPLEVEL10_C_10_1","100","100.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AMR","BHS","IHRSPARCAPLEVEL10_C_10_1","60","60.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","BIH","IHRSPARCAPLEVEL10_C_10_1","20","20.00000","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","EUR","BLR","IHRSPARCAPLEVEL10_C_10_1","No data","","","",""
"IHRSPAR_CAPACITY10","PUBLISHED","2018","AMR","BLZ","IHRSPARCAPLEVEL10_C_10_1","60","60.00000","","",""
