"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_2","PUBLISHED","2012","AFR","TGO","ENVCAUSE060","148","148.21497","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","BGD","ENVCAUSE001","36","36.29599","","",""
"TOTENV_2","PUBLISHED","2012","EMR","BHR","ENVCAUSE001","3","2.68818","","",""
"TOTENV_2","PUBLISHED","2012","WPR","BRN","ENVCAUSE001","2","2.15645","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CHL","ENVCAUSE001","1","1.43730","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CRI","ENVCAUSE001","3","2.66795","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CYP","ENVCAUSE001","1","0.62060","","",""
"TOTENV_2","PUBLISHED","2012","EUR","DNK","ENVCAUSE001","1","0.92644","","",""
"TOTENV_2","PUBLISHED","2012","AFR","DZA","ENVCAUSE001","11","10.93937","","",""
"TOTENV_2","PUBLISHED","2012","EUR","FIN","ENVCAUSE001","0","0.43793","","",""
"TOTENV_2","PUBLISHED","2012","WPR","KHM","ENVCAUSE001","39","39.30952","","",""
"TOTENV_2","PUBLISHED","2012","AMR","LCA","ENVCAUSE001","4","3.74037","","",""
"TOTENV_2","PUBLISHED","2012","EMR","MAR","ENVCAUSE001","13","13.09918","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","MMR","ENVCAUSE001","47","47.19860","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MNE","ENVCAUSE001","1","1.32161","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SAU","ENVCAUSE001","4","4.02967","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SRB","ENVCAUSE001","2","1.51281","","",""
"TOTENV_2","PUBLISHED","2012","EMR","TUN","ENVCAUSE001","4","4.40150","","",""
"TOTENV_2","PUBLISHED","2012","AFR","CIV","ENVCAUSE151","53","53.41713","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CRI","ENVCAUSE151","16","15.83799","","",""
"TOTENV_2","PUBLISHED","2012","EUR","FIN","ENVCAUSE151","8","8.11412","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","IDN","ENVCAUSE151","21","21.03296","","",""
"TOTENV_2","PUBLISHED","2012","WPR","KHM","ENVCAUSE151","28","27.75657","","",""
"TOTENV_2","PUBLISHED","2012","AMR","KNA","ENVCAUSE151","15","15.31464","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MNE","ENVCAUSE151","9","8.50786","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","PRK","ENVCAUSE151","37","36.66642","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SDN","ENVCAUSE151","53","53.30941","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SEN","ENVCAUSE151","38","37.51416","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SSD","ENVCAUSE151","56","56.42574","","",""
"TOTENV_2","PUBLISHED","2012","AFR","STP","ENVCAUSE151","31","30.67366","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SYC","ENVCAUSE151","34","34.06283","","",""
"TOTENV_2","PUBLISHED","2012","EMR","TUN","ENVCAUSE151","17","16.60577","","",""
